"","en","id"
"D_clipping_mask","%d Clipping Mask;%d Clipping Masks","%d Topeng Kliping;%d Topeng Kliping"
"D_compound_path","%d Compound Path;%d Compound Paths","%d Jalur Gabungan;%d Jalur Gabungan"
"D_graph","%d Graph;%d Graphs","%d Bagan;%d Bagan"
"D_group","%d Group;%d Groups","%d Grup;%d Grup"
"D_image","%d Image;%d Images","%d Gambar;%d Gambar"
"D_link","%d Link;%d Links","%d Tautan;%d Tautan"
"D_mesh","%d Mesh;%d Meshes","%d Jala;%d Jala"
"D_non_native","%d Non-Native;%d Non-Natives","%d Impor;%d Impor"
"D_obsolete_type","%d Obsolete Type;%d Obsolete Types","%d Tulisan Kuno;%d Tulisan Kuno"
"D_path","%d Path;%d Paths","%d Jalur;%d Jalur"
"D_plugin","%d Plugin;%d Plugins","%d Pengaya;%d Pengaya"
"D_sheet","%d Sheet;%d Sheets","%d Lembar;%d Lembar"
"D_symbol","%d Symbol;%d Symbols","%d Simbol;%d Simbol"
"D_type","%d Type;%d Types","%d Tulisan;%d Tulisan"
