"","en","id"
"add_bleed_to_images","Add Bleed to Images","Tambah Lebihan ke Gambar"
"adding_bleed","Adding Bleed","Menambahkan Lebihan"
"append","Append","Tambah"
"bicubic","Bicubic","Bikubik"
"bicubic_sharper","Bicubic Sharper","Bikubik Lebih Tajam"
"bicubic_smoother","Bicubic Smoother","Bikubik Lebih Mulus"
"bilinear","Bilinear","Bilinear"
"canvas","Canvas","Kanvas"
"correction","Correction","Koreksi"
"flatten_image","Flatten Image","Ratakan Gambar"
"message_addbleedtoimages_select","Select Bleed with","Pilih Lebihan dengan"
"message_preflight_issue_bits","Bits per channel is %s.\n","Bit per alur adalah %s.\n"
"message_preflight_issue_mode","Mode is %s.\n","Mode adalah %s.\n"
"message_preflight_issue_resolution","Resolution is %s.\n","Resolusi adalah %s.\n"
"nearest_neighbor","Nearest Neighbor","Tetangga Terdekat"
"replace","Replace","Ganti"
"resample","Resample","Sampel Ulang"
"resize_canvases","Resize Canvases","Ubah Ukuran Kanvas"
"resize_images","Resize Images","Ubah Ukuran Gambar"
"resizing","Resizing","Mengubah Ukuran"
"tip_addbleedtoimages_bleed","Bleed are distributed around image.","Lebihan didistribusikan di sekitar gambar."
"tip_addbleedtoimages_flatten","Layers will be flattened into one.","Lapisan akan diratakan menjadi satu."
"tip_addbleedtoimages_guides","Guides will mark where bleed are added.","Panduan akan menandai di mana lebihan ditambahkan."
"tip_addbleedtoimages_select","When enabled, pixels covering bleed will be selected.","Saat diaktifkan, piksel yang menutupi lebihan akan dipilih."
"tip_resizeimages_resample","Method to resample new images.","Metode untuk mengubah sampel gambar baru."
"tip_resizeimages_resolution","Images' new resolution.","Resolusi baru gambar."
